# GKW transfer operator: resolvent certification data (Stage 1)
# Two-stage method: resolvent bridge proves Gamma_j ⊂ rho(L_1)
# Generated: 2026-02-20T05:22:52.039
#
# Columns:
#   j              eigenvalue index
#   circle_radius  radius of excluding circle Gamma_j
#   resolvent_Ak   ||R_{A_K}|| on Gamma_j at K_low
#   alpha          small-gain factor eps_K * ||R_{A_K}||
#   M_inf          infinite-dim resolvent ||R_{L_1}|| on Gamma_j
#   certified      resolvent certification status
#
j	circle_radius	resolvent_Ak	alpha	M_inf	certified
1	0.009999999999999985	425.1584968577508	1.0059933712447806e-5	425.1627739670739	YES
2	0.003036630028987325	1490.845563709278	3.5275803393928576e-5	1490.8981563395216	YES
3	0.0010088450929310363	4672.827472628852	0.00011056661215000785	4673.344188463182	YES
4	0.000354961590216578	13713.254911299431	0.0003244776628225974	13717.706000481756	YES
5	0.0001284379036243488	38690.99448421399	0.0009154911466113878	38726.44820468509	YES
6	4.7177775115561693e-5	106617.78124492224	0.0025227481511466477	106887.4313146521	YES
7	1.7486751242652e-5	289425.4384163727	0.00684827128396546	291421.1696439853	YES
8	6.520208582124853e-6	777732.1766797537	0.01840239393369996	792312.6257372142	YES
9	2.4413146524126495e-6	2.0747206507640623e6	0.04909122685490214	2.181829329328823e6	YES
10	9.168908305199109e-7	5.504444454484344e6	0.13024400722371202	6.328722653481224e6	YES
11	3.4516544443341263e-7	1.4541626041067902e7	0.34407825581642504	2.216975755113569e7	YES
12	2.366160805158188e-7	2.1092385516304456e7	0.49907975895965856	4.210727335054083e7	YES
13	2.366160805158188e-7	2.10242619990269e7	0.49746784699474184	4.1836650397983424e7	YES
14	2.366160805158188e-7	2.1171849389753785e7	0.5009600019874771	4.242515524621837e7	YES
15	2.0091707773504014e-7	2.6224551992017314e7	0.6205150705634446	6.910564809768473e7	YES
16	1.1414582274884543e-7	1.4523215461468715e13	8.111947905441414e-32	1.4523215461468717e13	YES
17	4.3267207417410805e-8	9.811210071914202e13	5.480055377809666e-31	9.811210071914203e13	YES
18	1.641106500613246e-8	6.625440580838631e14	3.70064253229259e-30	6.625440580838632e14	YES
19	6.228112401854772e-9	4.472746662997296e15	2.4982544685597996e-29	4.4727466629972965e15	YES
20	2.3647610848625e-9	3.0187637878128196e16	1.686131742005716e-28	3.01876378781282e16	YES
21	8.982636440312839e-10	2.0370554039617974e17	1.1377981247525274e-27	2.0370554039617978e17	YES
22	3.4133811322904866e-10	1.3744167754723382e18	7.676810491847425e-27	1.3744167754723384e18	YES
23	1.297514223976842e-10	9.272694097275437e18	5.179267061055196e-26	9.27269409727544e18	YES
24	4.933674483181405e-11	6.2563371954195685e19	3.4944796861800866e-25	6.256337195419569e19	YES
25	1.876491884642074e-11	4.222663075392493e20	2.3585701789451294e-24	4.222663075392494e20	YES
26	7.1388676518085946e-12	2.853117789313661e21	1.5936101021433193e-23	2.8531177893136617e21	YES
27	2.7164925004743102e-12	1.9334797802726568e22	1.0799459179964525e-22	1.933479780272657e22	YES
28	1.0338929560470708e-12	1.3207563875525133e23	7.377090176779279e-22	1.3207563875525135e23	YES
29	3.935708528389219e-13	9.219929157903369e23	5.149795182699085e-21	9.21992915790337e23	YES
30	1.4984555217147189e-13	6.849746120888699e24	3.8259284829565793e-20	6.8497461208887e24	YES
31	5.706008526888083e-14	6.298973150002873e25	3.5182940159609903e-19	6.298973150002874e25	YES
32	2.1731180316425666e-14	9.08862005602618e27	5.076452430416434e-17	9.088620056026181e27	YES
33	8.277359654392525e-15	4.6186257779722216e26	2.5797353075866704e-18	4.618625777972222e26	YES
34	3.1532159082799597e-15	3.1135907564401733e27	1.7390973839172372e-17	3.113590756440174e27	YES
35	1.2013378221076195e-15	2.0989040787990022e28	1.1723437272488256e-16	2.098904078799003e28	YES
36	4.577440527782245e-16	1.4148337048492534e29	7.902559415337046e-16	1.4148337048492548e29	YES
37	1.74430840178146e-16	9.536722814585737e29	5.326740408541088e-15	9.536722814585789e29	YES
38	6.647586660741149e-17	6.427956087229534e30	3.590337488031581e-14	6.427956087229766e30	YES
39	2.5336251342275238e-17	4.332369153855404e31	2.419846553709551e-13	4.3323691538564535e31	YES
40	9.65730468211501e-18	2.919816503033419e32	1.6308646958309288e-12	2.9198165030381813e32	YES
41	3.681312419195237e-18	1.967712777835754e33	1.0990667727145896e-11	1.9677127778573808e33	YES
42	1.4033967457766841e-18	1.3259968822031493e34	7.406360980973768e-11	1.3259968823013577e34	YES
43	5.350418536888955e-19	8.935027540319366e34	4.990663268272216e-10	8.935027544778538e34	YES
44	2.0399633471200215e-19	6.020342690249731e35	3.3626648592922574e-9	6.020342710494127e35	YES
45	7.778286427663616e-20	4.0561469346151797e36	2.2655625207592116e-8	4.0561470265097273e36	YES
46	2.965980847638076e-20	2.732616197170184e37	1.526303888819966e-7	2.7326166142505206e37	YES
47	1.131046405780359e-20	1.8407590586936002e38	1.028156721230781e-6	1.840760951284345e38	YES
48	4.3132504128310676e-21	1.2399528002633572e39	6.925761411189144e-6	1.2399613879400892e39	YES
49	1.6450317731260277e-21	8.350571206857965e39	4.664214945404414e-5	8.350960713615655e39	YES
50	6.273453178386848e-22	5.624795478267278e40	0.00031417318030928855	5.626563193519999e40	YES
