# GKW transfer operator: certified spectral data
# Operator: L_1 = S*L : H^2(D_1) -> H^2(D_1), where L f(x) = sum_{n>=1} (x+n)^{-2s} f(1/(x+n)), s=1
# Galerkin truncation K = 1024, matrix dimension n = 1025
# BigFloat precision = 2048 bits (≈617 decimal digits)
# Schur residual ||A_true - QTQ'||_2 <= 5.715071e-317
# Truncation error eps_K = 3.2283113854217297e-180
# ||A_K||_2 <= 1.0975592327426908
# Generated: 2026-02-20T05:22:51.173
#
# Columns:
#   j              eigenvalue index (sorted by |lambda_j| descending)
#   lambda_j       eigenvalue (BigFloat, 2048-bit)
#   ell_j_1        spectral coefficient ell_j(1) = <P_j(1), v_j> (BigFloat)
#   ell_radius     rigorous error bound |ell_j(1) - ell_j_hat(1)| (BigFloat)
#   eigvec_radius  rigorous eigenvector error ||v_j - v_j_hat||_2 (BigFloat)
#   eval_encl      eigenvalue enclosure radius (Float64, directed rounding)
#   proj_error     Riesz projector error theta_j (Float64, directed rounding)
#   M_inf          infinite-dim resolvent bound (Float64)
#   circle_radius  excluding circle radius (Float64)
#   sign_certified YES if |ell_j(1)| > ell_radius
#
j	lambda_j	ell_j_1	ell_radius	eigvec_radius	eval_encl	proj_error	M_inf	circle_radius	sign_certified
1	0.999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999996092856510863247857055394894059440629940063913755353776834632216125857931141936497979281037117940913848649153427121280727161103886091740110399339378757948208843003341452575107517429659746666820000651859086576247962816023291627626921302786852531395056448009522765389331692994932233367899671146973916681353218	0.832940370215781172452536440389687921991684608202047454193931625626198478513371668434970973225958007161918720079713131303653918308420150893488106130234647848154105273708754309594816065828323484192805488718174355675198342138580242365515338752073323789084617271959194470727889275381818431151749985868254555158755501531247510056643585848002051004365212219115331734200090121450274283554604543132145833600807546542649039138787005002422114653013696973922666818638422403541207087905471278548102306438713912788509812430177158594008475093344026339347672962183544811016331604344794347866245505834598719026135381616875273044987757	4.51521852441506358076178354888128123228389797225255706067387077563040487411629244377667982224609063980862945651183410905460118947980843445619578963597646647973180818034100250088407456376719230885742017335177319937491940462141656074756859388586068631158903492604320614409405803236609610723974650199348713798609247317062900861717743892304833540691614204194451312047602262355485080809539525214508567774872991974073816581014248283985224070875338798809478094105287061433870527547448727135959356435091455053132856574379536584152028105720907518008171850872282171704146686624558071803280333860756758782634494112294184297075718e-316	2.39583799301335645817176453175600403805235555621213393747294246704222464363577861680452832774061784475057576033276399570190988905836656732167384447038575287984499623006105342281499293434951364406175853284169049451138365189327178233632286172652391331088452311634872876307423150288855572342018253102376696602378485070796767327014964542819708621620272257478966887684447651282628747289195221548930830529174014524220877418221730822320244518298077177783394214950251625483535946053269767791726273400006164087001453213195904833638434555513404382590645197218810443018989828270261802910118302224214621630503772578070741783633605e-316	1.2813072424616016e-176	5.835604918205678e-177	425.1627739670739	0.009999999999999985	YES
2	-0.30366300289873265859744812190155623311087735225365789518824548146722699529424691098434081193436363681109827226371061693847461485974580131606526538181823787913244613989647642974095044629375949048702977287725110583351759220444724086591196507781055892957918671475292565364259184412178423449205725529426910040657786273099274971629732839251803253027882975260911730107184813379588010100235701957934435692318588217417060438134713309298372025979498641666613846959680656660316433247057748473468852435471116840385607238079035701105029203031682658356565579091450215191712746343063582106035787245857177146355445750772563057909148	0.451205768373325034778324747292069571600074779825387835035516193519947799471968685967603798342820735156774248095640669904162906890846780645151496882598840845786958941431152693725112320097752923629034681620502460639796947190978669825926755465277793974356090114844980336268040813104784642473082808375713719984231713823580934055458917990846208857756722835256666416115633502502260104780458174179756080266989726945371247040390068272205281316240912595948931481999752339436237918954634342539985443847581089629278925776771126796899892248474037903832927307607898538113735878330002731829937298847192256627244560278250961076995344	4.13290631600457976067944496303873928897206374040588795434320685131194383538500969393983849236530078573286826097857479403990918620972454200589052470378384408308094202487739253213866132760945281755111877738615906564279716284895357287247510833656325377778987171374915508942329750414578366633234313057818234193252703526261330304688420579676353392965152235704331794129560885733026870692693664783601629281391351628190388514258979046910263634419354084463442780695858198273697707933716929631349861121770641625773200527627857648541499395349311173875608957273669286112413365448322671304385554413100002628111721078796637422358425e-315	1.32724482557110644832900735639421980956937862116191438071199072897527691220357510032913713964711468317283350351941250296742022284970992776855335596310320110237094638525789305592416229701579175767322126256392040719608775509313697057165993082478434853885524847836105388908292661396557726921385172145967931402159886291362855832478150527237352079574518586403048038749571413019180937181766506393537073422005189112113061665021445275739991660199767665697631528443690744045612836572738656341755789350491964834043526992752130576131329309952052018577819169915358186809721649749138135435510045292829883235708451882171368991384159e-315	4.7835523285515616e-176	2.179030231225064e-176	1490.8981563395216	0.003036630028987325	YES
3	0.100884509293104075305637642992486247444481593431675337003907259642759007927818416724732621017622804539685231880177094416584355487260239640401108338360851411234648669393743533547728029989052419547133653998404688133652623212561457994440496201455958681182339021972933850326929430411831920575294388332557142017769722174678418503276075476059197550142760469280550727726287001012918540305930950245892300145955582140551911725584160140530934095446208303919172269343694817873540639748395259641975037100365650812010337143890464030971946981597757839783806084171144744859431007581657306752179765103135145070201498926617405064471921	-0.201939874212917170502773925311963274891407942137791105775329352660737929708176040398730047917979340592874087377720584080782127545802895011940649286684836160629068971776399317561680521141419707945155076109205065842308937612890916588182444860426503398528206484136163878649534471519608623071281400714703223968562148717991872192635797174421063140573464761056186699546278667781361199028555275638101878523556304704642590004388789102687189558574057605002287255336844686894372184617245976072432274821910805468511809218540706060867997213922316447623238990809826054017255952610401858380712405622347256342630249791020739411386901	2.95885439334669637970907611648755180826889850237529962055731033381534455298519500124916169185619538437458123605357668951090741130163646695109425820579270408782606341805017200194289430526322972683559563181582127472707448566047902519148444935491044945028457858774684142144394640211716990117857095012591059318771513771883437722139087054127480739369808330168760039804457376113308007038976347693663924009032935953604572966392340773509414706108266412016634788089961721354721102732528253660872684280967498062514442972809696838984326049364063145445342138080566361579577087955564539308802413662001235308626017875230341681822853e-314	6.19791773505985517752646630116551254732362181786514378404955944339583397004677467392465477094507386359515634155559660897829317811189169650466362595255271741801791543665693898180498641225203817956304991622935441097919335195587268738447457432172949104930698979348956787633243776809765456614124087860901328215610601692676850252512400781258787939497588654875415209342708572934425571366947089326403601366751330221459407556893784205502356994495067099658097852858032380740401540090436445198708899166600962600749804613830143901418146519046222906044326769829094137501587888011661668604764015071111637914978205513051674810210389e-315	1.5614295043009867e-175	7.113043080533142e-176	4673.344188463182	0.0010088450929310363	YES
4	-0.0354961590216598454088916811346969995131873271635908886069884189025177241454069108539262751397608788910621890264418307425874618397216888867239537208536132610750301257960610577499116064791222250906713454992113744888022864321528420109704688226167098350112598860333329109441261674805768313878983609885533031748678810844110840571205226757031616910009835556322244914083014260585497789166956928143512191040018562844163366070717861061038453550292653623479124780569879307533648599005961453444489780720300951286260546768584745639959939080939977009968425551751075021389071734582655420540383706856063551529360416053054559758159429	0.0874023929762092879782736650280888340966307486368799598736403465961891062218467329058355038464970471393099142090722764949588050178957228683821977963655557053491766633394120702754807542513419050995184478360385035331710594916550489689769418749822598263721112202820706633335285564327496679961975197301438270893119493412151095906463574471099867198353172288179724981759623640080634827307543839696784053519531453818251314554900138133086471804444813530969039162633897602702962584640409780050343993659767812127138732062350375433081259679969880260628496744785961285185079574538543230434355174409973193883824476823049544489423754	1.72609374104141625884513505524517085106538591634258647750745177108316393329939066025731067580505303299833948929395327329853004446346625401242850223269856982055609323707194766533288127583144617297287469320834509063015729644475182806675379409397098648516565829337988634042655703290690293534734660631759163903129280218991158959496853562166215725834223952536326457158088614488161547401644253637543167778340965529093693422027893314082810633563245888761037359150927233261944263687713975786834112278860006542810796215065839587477493184671744413989376862661400702186422832009709912788539779679156981083634915436203551692473614e-313	2.53183325761065758072514126350996983054560954287070780495593094646870882675805587868628549874134208361616529355613909882648678408813146660711663967691052656796928349066052667178298350107833850332212810071951739076511630219043404971095371377861167184533986768573165025149148676796182338903299826671844212051769782448266793464207968849920659889516627252842238367179413750102638777600848557224405760824816861186210373889082390796252649958898024887285993345400962250539606625333355430762327786093340302034054687895944938830022062692761395579672213746554120542396667719792664145577480621594507091654613099032826779919824999e-314	4.733481517476646e-175	2.156352519824545e-175	13717.706000481756	0.000354961590216578	YES
5	0.0128437903624402648151602953020630217224895390188822097913127446079017504846546521591302191868050642847007312044195913963863886171774105399208984257698625280881211578812185149760287155547846348665759930778626870361175300907390363886615764591903839170013252528934523078913359452182440639754703594117857726826309411274315188031678248117264453204813175600360219721533901663415898179090738174284564196910003787216350625620411680387289652802381280412876656531493622639031537516501451678078844122718486846602640580947661408298960239327994189329535312247819002766377907262375711154055484461899809032097314076846410058394053873	-0.0369461611135828892698152600925818067466598841187869597362909022434070572105989084868436415837473410292619569917557122966325938179640048503037397825069457014372406653743920833713702829110180824626326613307028984836991783285305176423344327672241683256897248346926331787812806354620978607574521932359178733490183459964820807919695620133505301538421512174859649951081514922432917916166299562929358597316325066022090591769118549712078021449776240428053827742282273457978214652593530533335374732168255266144122685000267630904496544694590454287573406132087394961856928120219526881503694719430251044997070965920161370576933689	8.93679106038642093640290043777970070360504019137102892490716193236018397596796588800747181031823377913512229193793629542535386977242862638725563492179505083619117357016654308923620953634771599016304315266049751326418207776366821985165298693617246155588909789260763248562288859412773631459450358311791950257431178473859835917324509224378302366660555433198022069131442176290701798857428984583582682916606117320331654937096809000855560840678488687458939650944524984269763472141423146084967537623293418971682924946956739097505555038650345832735390318460720434847078517760163576203889727023583533945438013081668737809103634e-313	9.5951262689713546072639894794922593822730990476125869544334295489250530568873504718034415898678607801482769213922909151383488291454231050766792472138301882102028236137678684623695593409486153440234856070051735902608759504984069412399660522536437133132612705844416533045615030056831709787831182766163244322012367107640764320725573613247771031196448396932101807335970153434392235223434282313931030633243257109844896170378146829960975065609307084911172777280756048114564827451326535243935826779821094866746919972267647064149122035301983070513899047527841934511788695148281051260686228949924129698314096959065507847659902e-314	1.3650323734039676e-174	6.218475980023012e-175	38726.44820468509	0.0001284379036243488	YES
6	-0.00471777751157103107387547499904633332232334208299968466282216479721293952102944895888555434586137606915091817223515419933246961479416691810492896115788418216273883689162067324503239368440536211837941478812664212022789991474100345538282343561918958554645877498352388099371768690428022085907885532954069299477604247996269291631266590931319017258233416624353771115833571902692702367234272411241920751949132895709091761355629894121564802871512642064113500923421020768615398930133527192613325767214242270168735727310772400052153345081203041663863486589631135713095811149979214399916981140830211982523029554453456302087577903	0.0153479541614425749496909431470710914752593444507433454227328976374327950132053316167790794091490042375634034458025573842416099106110850481129614272912837714042179802253906595230008879255709465272988522797879549063213146192325285913548439115048329381349747228385292668088754379078053277197889593498600442374962335874575860569946990768863028884641496953136460219537070372251907261717703879836133163307107197122989900109142832334963275890097700748265077037995265054918722367584427022568021201457483553278697515584380873668285607140557395253641490306767423237436957268899195856977183351021561571680794949978896671693167893	4.31455437162079547486410912131042870966527672165495669278299870527203030061373414803473127856095334704978262153470983930655442171387960829292237631650905872827110261183130982663028525710682788993997793769690004242398054674384654243848971444795625531809032002846277232810003052354002529057241252699189403188444751549898827822903246151204787244827493012763738350740399416682377743179660481219666181861778798942026954088830501877918640508879582748761109399262829006978277968934853394661680505679017382375726916918499073991701866766994423494139112622876718493845804942200010716143742055711992182527323868973219649045107708e-312	3.48275627394797811246055256461429648168952693654086720068927436129324859334842437112899368554883345359019556260166332196186427177548193868680067286681783473332890415962834919342264414509985953664532792641517914802599102451487860498943561253512264517394189920121764592326094142457199446558791926427762603738031944600423665882750521314980649672157498708666584258056581386851223781762886697406934917014246811604323990974644265854254892113847201445547198660056926129330941198376337737636841091325915949587003327514780782678173014782926901974167921962498591026316462230836721314860777476920439234878102389731173890216445678e-313	3.819658045844287e-174	1.7400677355644693e-174	106887.4313146521	4.7177775115561693e-5	YES
7	0.00174867512430551191331170967465212021561446528114536287371081591475124045243229450540354311822727792988363325932901156074134662684007337559075051121468611748249824162367231023850372546738336173623817316917357576250398427163868482621882831652742773259649825782972857936253053357322662193324406531991625008701227072828058167542480169397762167236900167072180464473223567095582606668803818678300951836333944073927628037026384645792121147600688364816197655198062854748822015118265765269009132107755110516288525284740625347369409416396407343016848921150737110541007226742419059020850952477221347334514476056076569689420648191	-0.0062949804199573167182960999800890906108366834111555617413627546942895054138230940929169192528843260801838958897567090398456231907516984666554971767934365408426156281489050389661413490092973377387044915070055683046461605365006865694841460022686961077479958799623769388559920953236459643423709588947546366897159345120758567547145032777263175022504291518733206929695652647795537289255924183779891513674573310050791746063831713043701126089044632165428952201534112057617232886604158914807248597914288590323549508320616929209541922246433409421670482973281862799243508766138701925102881016232274447307368029093315311960080476	2.00782233620686151065093685214516702410321653031647117887517091724445547371708721274561172286685073243223142111335057404827994543662124110634624495973214722754024320054556283833733712879696147117309445883487776568445565716522379008945368176185637721804581081464122762324032902956750018828845284091640017104418495481646051787382867692101550408312273486228540292362926060028695231335949523924233543540321587281043213355581790475696442432836124702571864327531987137103205603043855857850525237599803238676786470160328741045257401016955593904592423310641002724776002122960643748762055714957930795144994835275592260597861593e-311	1.2350542773876366102306697951415785383148023716167700659642440313888012040522435648118577080866044927851786683901059303988593104993697227473012690048672580221563548700405777151704331594034885009707496528667782954225702295121042656685225593966034052078201624893135878512826775072276690296752629318922854103501478783735908580802521940007043960282535118826268681338748005768694487567513826179994335745096537664449141900850943579490741004531106430479353567449774108152227365623382673408472397368019120885620896220449710936581579322464090598363166115298825611983370643631695550118030307097409884497377291829417952343638835e-312	1.0524096943841622e-173	4.794316972411401e-174	291421.1696439853	1.7486751242652e-5	YES
8	-0.000652020858320502900330267784809284370609589222144988279381535083960411175972415540357982374118467750651401939634917024746591339652703742603643280774518825035732102424420225950085909946378556078755074743851254893773440819102024029187329353432173645495471896998434743679124007081502455105240275054080656981213729826387622992796180783811244160897213810001694909604122809129306999545715097726911631332699262979924882895891947852187087501659805414735674440600621368627781645449105409291499028035329416659690261929202547161528129988322326985843230979624710223538271837136965506432401051969789774704263460059908902385768776207	0.00255742091478648398646704426486309041725264920017089770812787164047278177218238951468930126690949878409748059306015712609848111186428214395366218081706410532695930301641027650589420759306482903633671801403875292654734038839577527508831634927832874485838678565399510522086646934286126266208490406050664343103504177990382336267830611218328805315734247413924945267948499643625584349451944198011392076581157893844536047235374448984982087866995098369777473245810049571106945832549074504469603444935992400990093486955164345354573645645790502589840144630287955575324478893063850974133766391584467279036874508097625444521457704	9.17979408688799468261687841036395209862822930858343511567498120112215449947359568620768574482686590801366970392141384169311459966266347896889934683689672042593675694566250730321131557411405321706099273201216964520146829069019688818447431706305182648084374232061857506746736408246295649756876377426592550258405354554358160397076168544535614703129282242931604911693215962940527453219348981105784424257263332518653904375545773756093969659743585067600263367386904855615036077838983181545854792212548116860970319465019942424970887470558120943264774249919721499707687816840836400429488558545466072843638573483253491300716966e-311	4.32732631086912675025774228614478467382759017505793536108827232678668776162519238040230287432338805851797927818081422073134248312748389352925989340215187978550353198854040853521329322106393271760294642203422489175142823035339691627581558605348762055415087827310737671099483639065711483416700623977652868243104549523990923524648053405411936248958801563271354566129901536636206853499824091419458429249317258540246126372217565964039560674522760350527713256283219553749323653113952791322417012595363362445453031787225610507220539272080936398032558290037200328605099301932664379754890260054018515255953987508011497242546585e-312	2.9006015282007267e-173	1.3213870918480068e-173	792312.6257372142	6.520208582124853e-6	YES
9	0.000244131465524515812136850477916349318368626217322258416048183826704641834467701840910474626142763418677046100677748402320412639918677325410668669665302038758352810996239599138079543987863440210132867509355335180409914724091286460075300360572536262606735459430567993663484276937219745640241434371955874411988521939216088132081477983692713497754053202142668158949672506350214861103913884080124945224858799356520506270607346084400753308197988094940364637426897896943211782374480016148655999317048356815803364689786886227294764588437715287850127437051709369637176420132982882686065340192645789114242083396269813628548778096	-0.00103141519171637114140759172611619672460087557210363429269905974346690570566891368842155229007205461951926239478714447071624269701239037159985568597718802382621338960113461952055551865118045943036093494122076316476895847741833983040493158615204735404475921452681351580395435360230053145673133687042694054724778719339795871162164417335466993284604054141810075568537292158951593304649434797520643297864717826916639194750531058650201117341488034483004889090900304006822774447125838102117121753901513725264057107958373689765890290403491374129270572003326768413005893218256897347772047568627333424555012459754702337817192444	4.16729769150651824512796982855682135505957438373058142336646107895561195834731797680753081024403124271805960256424397169238061514115240512400743766683658654638152465269156840365486786930145880651027322341697679877543188348929270395434981529793735951174147351115216189730545965591875843467967799556123780700905631801331344105218073949004455681090241956193631833750752582709475224049560857234095297196956356398932165617919320156651637631677347857277027802494156101925817758095551241699991813777958082560235052759931630796090803355987998533002202387884838978594122089612877344626921471841292016086296241354995083161728691e-310	1.50744671019961295522600198246014514872795879746650738557222452434586501095979845758354091764359192674479051193469998749608622438814756113778164781817723605002224338239810302921078983688121872314670442245415469205599562464890181394269875552882795878940643870292318747228978186206335863280852531846773074925075970990483187565403839183219702983028618673061734528757165786348407108547657365403796218177405053220748203906510183212723740004332495173762368195960203830168538187313374651975016735295617560438701398280794763858291423091873411794491609516149512900970566696075601873633566072896755733870252273687107197850952063e-311	8.235665643018622e-173	3.751809047976107e-173	2.181829329328823e6	2.4413146524126495e-6	YES
10	-9.16890837685933029776867371439100329386461532426983285894892748213937182577719803735739044552766843473286575174263977185748706732833269813522837448488570238512719050435350696372497070712692438364981611435958171870873472158884608757169597858406405495681548677748148828314817481369638787283498695965716113039190395857705209554760818610078103360668916181457243672528201034114809182019093374731593833150854285399147279592473489596430352048158694386202747668109526131336086129466206650132788606630608243933297418361323295615332299468068931338432520517609606927248354834653803113943626417957374327318466204945455036283961242e-05	0.00041357957447474152637795585492949250247848025928001260956436756549026198331121377566077981488567000243204759004837246327639763007217801885398170138560354356405901763754800144578153546803325302806241846199562927999047771022617647355604024234282369800001356001095579647629092808236994131401427811415977070303158396999981824977808268204894326005735106024003421113228788210553608939765759236450367374465224920148586433710933841202896588468120966409992685274348822281823148377644531982688668752703884204583490554060101633500733336434972559533408750987190613089860120616421479021804828904233793116402233538438723709664499237	1.88901319610298293689506332138801281245623199551210268592474467287712209560436744077221598988347381969293653443193964314559749293554123004910640942340238260066351224741271033603056114367661437013680916194745259030930296476955751634177525327915157375358602369962847410359551777856489425645450253384738312265276100541300082587353159005797969993184466331769072392922133807134899868963204904528943112193905110971031066125986496618049674939576970382054588773604311058031106177916537179842113208009345004453048176590951321451289044180078347553918034437842238626118541513757128530286190226174907490527159932628814026036633777e-309	5.23883712214475915148707697973059973724743760169516762822008487827319100053760892658654436485456843349707337101677130815930442677912732629798509952387319382457959463796715114858642144980228978493776848939164493132111867101929029739922307607549604565666761682253841203353317313633458284310245344100808923610944191444165285555901001022469847893699469880538152893015938916286788689021458273897847562819151457579901386551415477761888652702664481899309391734693166449147535382502125138328815180104449782287982749614905008741094539752188047978881239811307260956711415192683130975366287873266673187308483614702277117132823989e-311	2.6024544887059414e-172	1.185564468315552e-172	6.328722653481224e6	9.168908305199109e-7	YES
